region,year,count_risk,total_CS
Auvergne-Rhones-Alpes,2021,250,16012537
Auvergne-Rhones-Alpes,2022,319,18821994
Auvergne-Rhones-Alpes,2023,336,21006355
Bourgogne-Franche-Comte,2021,255,4229363
Bourgogne-Franche-Comte,2022,324,4870902
Bourgogne-Franche-Comte,2023,346,5543627
Bretagne,2021,255,6193303
Bretagne,2022,323,7328236
Bretagne,2023,322,8317998
Centre-Val-De-Loire,2021,249,3277933
Centre-Val-De-Loire,2022,315,3983919
Centre-Val-De-Loire,2023,342,4329105
Corse,2021,247,330205
Corse,2022,312,412011
Corse,2023,337,519639
Grand-Est,2021,271,12686556
Grand-Est,2022,335,14771894
Grand-Est,2023,353,16535119
Hauts-De-France,2021,253,13825883
Hauts-De-France,2022,321,16181502
Hauts-De-France,2023,324,18235351
Ile-De-France,2021,255,41640707
Ile-De-France,2022,321,46539070
Ile-De-France,2023,332,52058559
Normandie,2021,258,5582028
Normandie,2022,317,6671475
Normandie,2023,340,7408988
Nouvelle-Aquitaine,2021,258,12446182
Nouvelle-Aquitaine,2022,326,15142051
Nouvelle-Aquitaine,2023,338,17473655
Occitanie,2021,264,12661397
Occitanie,2022,323,15390446
Occitanie,2023,346,17942487
Pays-De-La-Loire,2021,250,6771558
Pays-De-La-Loire,2022,314,8055704
Pays-De-La-Loire,2023,330,9078103
Provence-Alpes-Cote-D-Azur,2021,247,14844073
Provence-Alpes-Cote-D-Azur,2022,310,17651024
Provence-Alpes-Cote-D-Azur,2023,325,20552834
